date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:54	9166/9166	---M-Z	200	added ('OK')	application/x-javascript	etag:%2223ce-67c13d7e-a1a9b87a2dae294b;gz%22	https://www.spygram.com.br/_utils/js/utils.js?version=1.03	C:/Meus%20Sites/webspy/www.spygram.com.br/_utils/js/utils7033.js	(from https://www.spygram.com.br/)
15:14:54	24485/24485	---M--	200	added ('OK')	image/png	etag:%225fa5-67c13d81-8b77968e1af10327;;;%22	https://www.spygram.com.br/_assets/images/logo.png	C:/Meus%20Sites/webspy/www.spygram.com.br/_assets/images/logo.png	(from https://www.spygram.com.br/)
15:14:54	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Apr%202025%2018:15:54%20GMT	https://www.spygram.com.br/login	C:/Meus%20Sites/webspy/www.spygram.com.br/login	(from https://www.spygram.com.br/)
15:14:54	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Apr%202025%2018:15:54%20GMT	https://www.spygram.com.br/whatsapp	C:/Meus%20Sites/webspy/www.spygram.com.br/whatsapp	(from https://www.spygram.com.br/)
15:14:54	45854/45854	---M--	200	added ('OK')	image/png	etag:%22b31e-67c13d82-4e15de9dadaeeb0f;;;%22	https://www.spygram.com.br/_assets/images/whatsapp.png	C:/Meus%20Sites/webspy/www.spygram.com.br/_assets/images/whatsapp.png	(from https://www.spygram.com.br/)
15:14:55	12248/12248	---M--	200	added ('OK')	image/png	etag:%222fd8-67c13d82-1ed8dcd7ab3c5ac0;;;%22	https://www.spygram.com.br/_assets/images/ssl-secure.png	C:/Meus%20Sites/webspy/www.spygram.com.br/_assets/images/ssl-secure.png	(from https://www.spygram.com.br/)
15:14:55	3933/3933	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Apr%202025%2018:15:55%20GMT	https://www.spygram.com.br/login/	C:/Meus%20Sites/webspy/www.spygram.com.br/login/index.html	(from https://www.spygram.com.br/)
15:14:55	1924/1924	---M-Z	200	added ('OK')	application/x-javascript	etag:%22784-67c13d7e-68c14b432dac9319;gz%22	https://www.spygram.com.br/script.js?version=1.03	C:/Meus%20Sites/webspy/www.spygram.com.br/script7033.js	(from https://www.spygram.com.br/)
15:14:55	4347/4347	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Apr%202025%2018:15:55%20GMT	https://www.spygram.com.br/whatsapp/	C:/Meus%20Sites/webspy/www.spygram.com.br/whatsapp/index.html	(from https://www.spygram.com.br/)
15:14:56	130396/130396	---M--	200	added ('OK')	font/woff2	etag:W/%221fd5c-Agw8b5KAoxXoQl1/kuFbzQzdobI%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6	C:/Meus%20Sites/webspy/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/fonts/bootstrap-icons0107.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css)
15:14:56	176032/176032	---M--	200	added ('OK')	font/woff	etag:W/%222afa0-1YMf05uvE6/3Ym5IO5oIlzDxhgQ%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/fonts/bootstrap-icons.woff?dd67030699838ea613ee6dbda90effa6	C:/Meus%20Sites/webspy/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/fonts/bootstrap-icons0107.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css)
15:14:57	71600/71600	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22117b0-67c13d82-617d3a6a64e678f6;gz%22	https://www.spygram.com.br/_assets/font/chakra/ChakraPetch-SemiBold.ttf	C:/Meus%20Sites/webspy/www.spygram.com.br/_assets/font/chakra/ChakraPetch-SemiBold.ttf	(from https://www.spygram.com.br/_styles/global.css?version=1.03)
15:14:57	153944/153944	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2225958-67c13d82-92fa32a2b0d412da;gz%22	https://www.spygram.com.br/_assets/font/poppins/Poppins-Bold.ttf	C:/Meus%20Sites/webspy/www.spygram.com.br/_assets/font/poppins/Poppins-Bold.ttf	(from https://www.spygram.com.br/_styles/global.css?version=1.03)
15:14:57	155232/155232	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2225e60-67c13d82-beea78732cc0e263;gz%22	https://www.spygram.com.br/_assets/font/poppins/Poppins-SemiBold.ttf	C:/Meus%20Sites/webspy/www.spygram.com.br/_assets/font/poppins/Poppins-SemiBold.ttf	(from https://www.spygram.com.br/_styles/global.css?version=1.03)
15:14:57	156520/156520	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2226368-67c13d82-66eb87dd9dfa3530;gz%22	https://www.spygram.com.br/_assets/font/poppins/Poppins-Medium.ttf	C:/Meus%20Sites/webspy/www.spygram.com.br/_assets/font/poppins/Poppins-Medium.ttf	(from https://www.spygram.com.br/_styles/global.css?version=1.03)
15:14:57	158240/158240	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2226a20-67c13d82-599ab2e38a663973;gz%22	https://www.spygram.com.br/_assets/font/poppins/Poppins-Regular.ttf	C:/Meus%20Sites/webspy/www.spygram.com.br/_assets/font/poppins/Poppins-Regular.ttf	(from https://www.spygram.com.br/_styles/global.css?version=1.03)
15:14:58	159892/159892	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2227094-67c13d82-9eee7641f30b2e07;gz%22	https://www.spygram.com.br/_assets/font/poppins/Poppins-Light.ttf	C:/Meus%20Sites/webspy/www.spygram.com.br/_assets/font/poppins/Poppins-Light.ttf	(from https://www.spygram.com.br/_styles/global.css?version=1.03)
15:14:58	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65c4dee6-8758b20670fa3418;gz%22	https://www.spygram.com.br/dist/	C:/Meus%20Sites/webspy/www.spygram.com.br/dist/index.html	(from https://www.spygram.com.br/_assets/libs/aos-2.3.1/js/aos.min.js)
15:14:58	316/316	---M-Z	200	added ('OK')	text/css	etag:%2213c-67c13d7e-b7e004f101d19cf4;gz%22	https://www.spygram.com.br/_styles/login.css?version=1.03	C:/Meus%20Sites/webspy/www.spygram.com.br/_styles/login7033.css	(from https://www.spygram.com.br/login/)
15:14:58	1767/1767	---M-Z	200	added ('OK')	application/x-javascript	etag:%226e7-67c13d8c-d76a21ce509760c;gz%22	https://www.spygram.com.br/login/script.js?version=1.03	C:/Meus%20Sites/webspy/www.spygram.com.br/login/script7033.js	(from https://www.spygram.com.br/login/)
